Nuts_Sample_Code,Project,Sample Date,Transect,Station,Latitude,Longitude,DepthorPressure (m),NO3 (um),NO2 (um)
072717NH03,NH,27-Jul-17,Newport Hydrographic,NH03,44.6517,-124.13,0,28.1385,0.4261
072717NH01,NH,27-Jul-17,Newport Hydrographic,NH01,44.6517,-124.1,0,27.6385,0.3353
080817NH01,NH,08-Aug-17,Newport Hydrographic,NH01,44.6517,-124.1,0,20.7477,0.374
080817NH03,NH,08-Aug-17,Newport Hydrographic,NH03,44.6517,-124.13,0,9.36,0.2319
090617NH01,NH,06-Sep-17,Newport Hydrographic,NH01,44.6517,-124.1,0,0.0955,0.1267
090617NH03,NH,06-Sep-17,Newport Hydrographic,NH03,44.6517,-124.13,0,0.1611,0.0996
102617NH01,NH,26-Oct-17,Newport Hydrographic,NH01,44.6517,-124.1,0,4.9551,0.2865
102617NH03,NH,26-Oct-17,Newport Hydrographic,NH03,44.6517,-124.13,0,4.9329,0.2321
110617NH03,NH,06-Nov-17,Newport Hydrographic,NH03,44.6517,-124.13,0,1.2052,0.1288
110617NH01,NH,06-Nov-17,Newport Hydrographic,NH01,44.6517,-124.1,6,1.234,0.1336
120417NH01,CRP,04-Dec-17,Newport Hydrographic,NH01,44.6517,-124.1,0,9.3142,0.3506
120417NH03,CRP,04-Dec-17,Newport Hydrographic,NH03,44.6517,-124.13,0,9.1893,0.3433
020618NH01,NH,06-Feb-18,Newport Hydrographic,NH01,44.6517,-124.1,0,7.337,0.2954
020618NH03,NH,06-Feb-18,Newport Hydrographic,NH03,44.6517,-124.13,0,7.4346,0.3115
022718NH01,NCC,27-Feb-18,Newport Hydrographic,NH01,44.6517,-124.1,20,0.6459,0.0469
022718NH01,NCC,27-Feb-18,Newport Hydrographic,NH01,44.6517,-124.1,1,1.5874,0.0839
022718NH01,NCC,27-Feb-18,Newport Hydrographic,NH01,44.6517,-124.1,10,1.1387,0.0601
022718NH03,NCC,27-Feb-18,Newport Hydrographic,NH03,44.6517,-124.13,1,0.1077,0.046
022718NH03,NCC,27-Feb-18,Newport Hydrographic,NH03,44.6517,-124.13,30,10.6939,0.1945
022718NH03,NCC,27-Feb-18,Newport Hydrographic,NH03,44.6517,-124.13,25,8.7452,0.2222
022718NH03,NCC,27-Feb-18,Newport Hydrographic,NH03,44.6517,-124.13,20,4.4038,0.161
022718NH03,NCC,27-Feb-18,Newport Hydrographic,NH03,44.6517,-124.13,10,0.2633,0.0766
022718NH03,NCC,27-Feb-18,Newport Hydrographic,NH03,44.6517,-124.13,15,1.0332,0.0689
022718NH01,NCC,27-Feb-18,Newport Hydrographic,NH01,44.6517,-124.1,15,0.8212,0.0653
030518NH01,NCC,05-Mar-18,Newport Hydrographic,NH01,44.6517,-124.1,2,1.087,0.061
040918NH03,NH,09-Apr-18,Newport Hydrographic,NH03,44.6517,-124.13,0,0.0273,0.1154
040918NH01,NH,09-Apr-18,Newport Hydrographic,NH01,44.6517,-124.13,0,0,0.0974
042318NH01,NH,23-Apr-18,Newport Hydrographic,NH01,44.6517,-124.1,0,4.0552,0.2375
042318NH03,NH,23-Apr-18,Newport Hydrographic,NH03,44.6517,-124.13,0,7.2187,0.2257
050718NH03,NCC,07-May-18,Newport Hydrographic,NH03,44.6517,-124.13,42,25.7817,0.1217
050718NH03,NCC,07-May-18,Newport Hydrographic,NH03,44.6517,-124.13,10,3.3269,0.0756
050718NH03,NCC,07-May-18,Newport Hydrographic,NH03,44.6517,-124.13,2,1.7972,0.0477
050718NH03,NCC,07-May-18,Newport Hydrographic,NH03,44.6517,-124.13,15,9.5379,0.1037
050718NH03,NCC,07-May-18,Newport Hydrographic,NH03,44.6517,-124.13,20,16.7765,0.1477
050718NH03,NCC,07-May-18,Newport Hydrographic,NH03,44.6517,-124.13,30,21.9607,0.116
050718NH03,NCC,07-May-18,Newport Hydrographic,NH03,44.6517,-124.13,25,21.7323,0.0969
051018NH01,NCC,10-May-18,Newport Hydrographic,NH01,44.6517,-124.1,2,0.0852,0.0255
051018NH01,NCC,10-May-18,Newport Hydrographic,NH01,44.6517,-124.1,10,0.0913,0.0153
051018NH01,NCC,10-May-18,Newport Hydrographic,NH01,44.6517,-124.1,15,0,0.0489
051018NH01,NCC,10-May-18,Newport Hydrographic,NH01,44.6517,-124.1,20,1.8591,0.2211
051018NH01,NCC,10-May-18,Newport Hydrographic,NH01,44.6517,-124.1,25,3.9911,0.3161
052118NH03,NH,21-May-18,Newport Hydrographic,NH03,44.6517,-124.13,0,0.3788,0.0461
052118NH01,NH,21-May-18,Newport Hydrographic,NH01,44.6517,-124.1,0,1.332,0.1424
060618NH03,NH,06-Jun-18,Newport Hydrographic,NH03,44.6517,-124.13,0,0.0688,0.0165
060618NH01,NH,06-Jun-18,Newport Hydrographic,NH01,44.6517,-124.1,0,0.1175,0.0247
071018NH01,NH,10-Jul-18,Newport Hydrographic,NH01,44.6517,-124.1,0,0,0
071018NH03,NH,10-Jul-18,Newport Hydrographic,NH03,44.6517,-124.13,0,0.0286,0.0029
071718NH01,NH,17-Jul-18,Newport Hydrographic,NH01,44.6517,-124.1,0,25.0075,0.2749
071718NH03,NH,17-Jul-18,Newport Hydrographic,NH03,44.6517,-124.13,0,19.6779,0.289
080518NH03,CRP,05-Aug-18,Newport Hydrographic,NH03,44.6517,-124.13,0,7.6827,0.1165
080518NH01,CRP,05-Aug-18,Newport Hydrographic,NH01,44.6517,-124.1,0,12.1626,0.2746
082118NH01,NH,21-Aug-18,Newport Hydrographic,NH01,44.6517,-124.1,0,23.5443,0.326
082118NH03,NH,21-Aug-18,Newport Hydrographic,NH03,44.6517,-124.13,0,21.6637,0.2726
092018NH03,NCC,20-Sep-18,Newport Hydrographic,NH03,44.6517,-124.13,30,13.8418,0.1155
092018NH03,NCC,20-Sep-18,Newport Hydrographic,NH03,44.6517,-124.13,10,2.0276,0.0164
092018NH01,NCC,20-Sep-18,Newport Hydrographic,NH01,44.6517,-124.1,10,4.3248,0.0506
